user_id;bill_id;line_item_amount;bill_discount;transaction_date;description;inventory_category;colour;size;zone_name;store_name;year
519644808;741961800;559.6;0.0;20.04.2022;MBL ITA16BLT004 Regular Casual Tan 32;MENS BELT;Tan;32;North;North_6023;2022
519644808;741961800;559.6;0.0;20.04.2022;MBL ITA16BLT004 Regular Casual Tan 32;MENS BELT;Tan;32;North;North_6023;2022
504795522;692673877;699.5;0.0;27.01.2022;MBL ITA16BLT004 Regular Casual Tan 34;MENS BELT;Tan;34;East;East_6510;2022
12626591;768369011;519.6;0.0;09.10.2022;MBL ITA16BLT001 Regular Casual Dark Brown 32;MENS BELT;Dark Brown;32;South;South_6017;2022
12626591;768369011;519.6;0.0;09.10.2022;MBL ITA16BLT001 Regular Casual Dark Brown 32;MENS BELT;Dark Brown;32;South;South_6017;2022
12626591;768369011;519.6;0.0;09.10.2022;MBL ITA16BLT001 Regular Casual Dark Brown 32;MENS BELT;Dark Brown;32;South;South_6017;2022
12626591;768369011;519.6;0.0;09.10.2022;MBL ITA16BLT001 Regular Casual Dark Brown 32;MENS BELT;Dark Brown;32;South;South_6017;2022
12626591;768369011;519.6;0.0;09.10.2022;MBL ITA16BLT001 Regular Casual Dark Brown 32;MENS BELT;Dark Brown;32;South;South_6017;2022
12626591;768369011;519.6;0.0;09.10.2022;MBL ITA16BLT001 Regular Casual Dark Brown 32;MENS BELT;Dark Brown;32;South;South_6017;2022
12626591;768369011;519.6;0.0;09.10.2022;MBL ITA16BLT001 Regular Casual Dark Brown 32;MENS BELT;Dark Brown;32;South;South_6017;2022
496507098;779140853;559.6;0.0;10.11.2022;MBL ITS17BLT005 Regular Casual Tan 34;MENS BELT;Tan;34;South;South_6028;2022
496507098;779140853;559.6;0.0;10.11.2022;MBL ITS17BLT005 Regular Casual Tan 34;MENS BELT;Tan;34;South;South_6028;2022
518922122;740235900;937.1713;0.0;04.07.2022;BSW TBA17SWK607 Regular LS Navy L;BOYS SWEATER;Navy;L;South;South_6028;2022
265821333;741719450;1243.0383;0.0;08.04.2022;MSH ITA17SHK234 Slim LS Navy S;MENS SHIRT;Navy;S;South;South_6001;2022
265821333;741719450;1243.0383;0.0;08.04.2022;MSH ITA17SHK234 Slim LS Navy S;MENS SHIRT;Navy;S;South;South_6001;2022
505086766;693993536;1384.2867;0.0;02.02.2022;MSH ITA17SHK234 Slim LS Navy S;MENS SHIRT;Navy;S;South;South_7474;2022
519752413;742055389;2999.5;0.0;22.04.2022;MJA ITA17JKK007 Sportcoat LS Navy XL;MENS JACKET;Navy;XL;South;South_6028;2022
519068031;740843639;1063.0603;0.0;06.07.2022;MTR ITMTR00017 Kansas FF Cement 38;MENS TROUSER;Cement;38;South;South_6005;2022
519068031;740843639;1063.0603;0.0;06.07.2022;MTR ITMTR00017 Kansas FF Cement 38;MENS TROUSER;Cement;38;South;South_6005;2022
357496939;747217849;1449.5;0.0;28.07.2022;MTR ITMTR00048 Brooklyn FF Navy 34;MENS TROUSER;Navy;34;East;East_6510;2022
357496939;747217849;1449.5;0.0;28.07.2022;MTR ITMTR00048 Brooklyn FF Navy 34;MENS TROUSER;Navy;34;East;East_6510;2022
504939103;795204703;1182.2877;0.0;31.12.2022;MTR ITMTR00047 Brooklyn FF Olive 32;Mens Trouser - Sportswear;Olive;32;South;South_7154;2022
522798577;759705178;1135.7631;0.0;01.06.2022;MDE ITMDN00005 Brooklyn 5P Black 36;Mens Denim Trouser - Jeanswear;Black;36;East;East_6037;2022
527284161;766346689;1209.45;0.0;02.10.2022;MDE ITMDN00005 Brooklyn 5P Black 36;Mens Denim Trouser - Jeanswear;Black;36;East;East_6037;2022
519794810;742216884;506.0622;0.0;27.04.2022;BTR ITBTR00002 Regular FF Black M;Boys Trouser - Sportswear;Black;M;South;South_6028;2022
363336073;688374182;999.5;0.0;22.01.2022;MTR ITMTR00013 Urban FF Pale Grey 30;Mens Trouser - Sportswear;Pale Grey;30;East;East_6510;2022
494483111;750741292;1242.6663;0.0;01.05.2022;MTR ITMTR00020 Brooklyn FF Olive 28;Mens Trouser - Sportswear;Olive;28;South;South_6046;2022
539290;727412971;1399.0;0.0;23.05.2022;MBL ITMBL00007 Regular Slim with stich Dark Brown 32;Mens Belt - Workwear;Dark Brown;32;South;South_7158;2022
507012450;702275202;99.0;0.0;05.03.2022;MBL ITMBL00007 Regular Slim with stich Dark Brown 32;Mens Belt - Workwear;Dark Brown;32;South;South_7259;2022
508838617;734749303;559.6;0.0;01.03.2022;MBL ITMBL00007 Regular Slim with stich Dark Brown 32;Mens Belt - Workwear;Dark Brown;32;South;South_6034;2022
482195057;712503856;1399.0;0.0;08.04.2022;MBL ITMBL00007 Regular Slim with stich Dark Brown 32;Mens Belt - Workwear;Dark Brown;32;South;South_7158;2022
316575455;757414357;559.6;0.0;31.08.2022;MBL ITMBL00004 Regular Casual Black 32;Mens Belt - Jeanswear;Black;32;South;South_6017;2022
316575455;757414357;559.6;0.0;31.08.2022;MBL ITMBL00004 Regular Casual Black 32;Mens Belt - Jeanswear;Black;32;South;South_6017;2022
316575455;757414357;559.6;0.0;31.08.2022;MBL ITMBL00004 Regular Casual Black 32;Mens Belt - Jeanswear;Black;32;South;South_6017;2022
506212769;698773458;99.0;0.0;20.02.2022;MBL ITMBL00004 Regular Casual Black 32;Mens Belt - Jeanswear;Black;32;South;South_7406;2022
501211787;712787883;99.0;0.0;09.04.2022;MBL ITMBL00004 Regular Casual Black 32;Mens Belt - Jeanswear;Black;32;South;South_7123;2022
415069970;701745840;99.0;0.0;03.03.2022;MBL ITMBL00004 Regular Casual Black 32;Mens Belt - Jeanswear;Black;32;South;South_7255;2022
517404472;735010935;559.6;0.0;27.03.2022;MBL ITMBL00004 Regular Casual Black 32;Mens Belt - Jeanswear;Black;32;South;South_6018;2022
505798586;696992934;99.0;0.0;13.02.2022;MBL ITMBL00004 Regular Casual Black 32;Mens Belt - Jeanswear;Black;32;South;South_7045;2022
515813391;757630373;1399.0;0.0;01.09.2022;MBL ITMBL00004 Regular Casual Black 32;Mens Belt - Jeanswear;Black;32;East;East_7096;2022
515813391;757630373;1399.0;0.0;01.09.2022;MBL ITMBL00004 Regular Casual Black 32;Mens Belt - Jeanswear;Black;32;East;East_7096;2022
397017893;744307722;559.6;0.0;17.07.2022;MBL ITMBL00004 Regular Casual Black 32;Mens Belt - Jeanswear;Black;32;South;South_6017;2022
397017893;744307722;559.6;0.0;17.07.2022;MBL ITMBL00004 Regular Casual Black 32;Mens Belt - Jeanswear;Black;32;South;South_6017;2022
505070713;693921970;3249.5;0.0;01.02.2022;MJA ITMJA00005 SportCoat LS Charcoal L;MENS JACKET;Charcoal;L;East;East_7310;2022
531383655;781680509;3249.5;0.0;19.11.2022;MJA ITMJA00005 SportCoat LS Charcoal L;MENS JACKET;Charcoal;L;South;South_6028;2022
305428469;693613333;3315.8271;0.0;31.01.2022;MJA ITMJA00005 SportCoat LS Charcoal L;MENS JACKET;Charcoal;L;East;East_7096;2022
